Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1347269226160156672,"RT @Complex : Elon Musk now officially the richest person in the world, passing Jeff Bezos.

More: https://t.co/FXfefHUGqY https://t.co/QhqxjoCda6",fioso_,boythegenius_,2021-01-07T19:49:49.000Z,Thu Jan 07 19:49:49 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://bit.ly/3s4XtXp ,0,0,photo,https://pbs.twimg.com/media/ErJf1tPXUAIlSrD.jpg,,,
1347269223731625989,"BBC News - Elon Musk becomes world's richest person as wealth tops $185bn
https://t.co/2tEei0IgL4",jason bell 🇬🇧 🇯🇲,chickenpox13,2021-01-07T19:49:48.000Z,Thu Jan 07 19:49:48 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://www.bbc.co.uk/news/technology-55578403 ,0,0,,,,,
1347269221978263553,RT @zei_squirrel : elon musk has just become the richest person in the world. here's a reminder that he is a con-man who cosplays as a self-made billionaire brain-genius even though he's the son of an apartheid south african emerald mine owner who got his wealth by sucking on the state's teat https://t.co/Ydq1YjLjDH,Janice Pape,janice_pape,2021-01-07T19:49:48.000Z,Thu Jan 07 19:49:48 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErJQpxuXUAEXInu.jpg,https://pbs.twimg.com/media/ErJQsWUW4AQ7tKK.png,https://pbs.twimg.com/media/ErJQ4KbWMAIqTNS.jpg,
1347269221487497218,RT @NorbertElekes : NEW: Elon Musk overtakes Jeff Bezos as richest person in the world,YOGI MEWADA 🇮🇳,yogi_mewada,2021-01-07T19:49:48.000Z,Thu Jan 07 19:49:48 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1347269221462532101,"Es anecdótico pero también una señal de los tiempos de cambio que vivimos. Elon Musk ha superado hoy a Bezos como la persona más rica del mundo. Coches eléctricos y cohetes espaciales frente al comercio electrónico. 
https://t.co/9dafzLJEad",Roberto Garrido 罗伯特,nvigoyendirecto,2021-01-07T19:49:48.000Z,Thu Jan 07 19:49:48 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://www.autoblog.com/2021/01/07/elon-musk-richest-person-tesla-stock/ ,0,0,,,,,
1347269217968672770,RT @zei_squirrel : elon musk has just become the richest person in the world. here's a reminder that he is a con-man who cosplays as a self-made billionaire brain-genius even though he's the son of an apartheid south african emerald mine owner who got his wealth by sucking on the state's teat https://t.co/Ydq1YjLjDH,Margaret,Margare39233687,2021-01-07T19:49:47.000Z,Thu Jan 07 19:49:47 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErJQpxuXUAEXInu.jpg,https://pbs.twimg.com/media/ErJQsWUW4AQ7tKK.png,https://pbs.twimg.com/media/ErJQ4KbWMAIqTNS.jpg,
1347269211781910530,RT @zei_squirrel : elon musk has just become the richest person in the world. here's a reminder that he is a con-man who cosplays as a self-made billionaire brain-genius even though he's the son of an apartheid south african emerald mine owner who got his wealth by sucking on the state's teat https://t.co/Ydq1YjLjDH,@Henryflipsit💸,henryhennyhank,2021-01-07T19:49:45.000Z,Thu Jan 07 19:49:45 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErJQpxuXUAEXInu.jpg,https://pbs.twimg.com/media/ErJQsWUW4AQ7tKK.png,https://pbs.twimg.com/media/ErJQ4KbWMAIqTNS.jpg,
1347269199652130821,https://t.co/gHwff4A4T0,Of Men For Men Podcast,RodneyLeMacks,2021-01-07T19:49:42.000Z,Thu Jan 07 19:49:42 +0000 2021,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://www.cnbc.com/2021/01/07/elon-musk-is-now-the-richest-person-in-the-world-passing-jeff-bezos-.html ,0,0,,,,,
1347269194048438273,"RT @Forbes : No, Elon Musk is not the richest person in the world—yet https://t.co/1HuVm3iHXO by @skleb1234 https://t.co/9MunzHaSjb",JOE,Joseph7Mora8,2021-01-07T19:49:41.000Z,Thu Jan 07 19:49:41 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,http://on.forbes.com/6017HVAzX ,0,1,photo,https://pbs.twimg.com/media/ErJ00HUWMAEFOZm.jpg,,,
1347269192022716417,"RT @Forbes : No, Elon Musk is not the richest person in the world—yet https://t.co/1HuVm3iHXO by @skleb1234 https://t.co/9MunzHaSjb",UnidaFerren,UnidaFerren_,2021-01-07T19:49:41.000Z,Thu Jan 07 19:49:41 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://on.forbes.com/6017HVAzX ,0,1,photo,https://pbs.twimg.com/media/ErJ00HUWMAEFOZm.jpg,,,
